location,elapsed,29Hz,58Hz,116Hz,120Hz,174Hz,232Hz,240Hz,peak1_freq,peak1_level,peak2_freq,peak2_level,peak3_freq,peak3_level,peak4_freq,peak4_level,peak5_freq,peak5_level
elec room,18.02424120903015,6.2742556229288615,32.18769010130452,7.56463259403717,122.34487111320837,3.159764028661437,2.228089894165662,99.49315118878154,120.1171875,122.34487111320837,240.234375,99.49315118878154,58.59375,32.18769010130452,360.3515625,24.543739131520987,39.55078125,24.504692059225174
elec room,19.007861137390137,6.831381582918048,24.747399486457308,7.174974371291872,120.59552269105063,3.4797485840392524,2.0162456452823863,95.63800599874841,120.1171875,120.59552269105063,240.234375,95.63800599874841,360.3515625,26.143322207840534,58.59375,24.747399486457308,38.0859375,23.892869878667057
elec room,20.01922607421875,2.5260687220580786,32.753772923989644,3.9848593299395088,131.6381420316554,2.14065058088583,3.379519371407078,98.58489743670377,120.1171875,131.6381420316554,240.234375,98.58489743670377,58.59375,32.753772923989644,360.3515625,27.474133955183976,38.0859375,25.73150857929089
elec room,21.004074096679688,8.06499917246355,17.176613392626685,12.63773067512335,141.62429446035537,4.231563366064377,1.7746927307895788,101.10839984892831,120.1171875,141.62429446035537,240.234375,101.10839984892831,360.3515625,25.30974111569228,102.5390625,21.24998073838952,57.12890625,17.176613392626685
elec room,22.01657009124756,7.299816545320402,16.158808879891026,9.556939972979187,124.9085311811874,2.9895138100987575,2.5999749401029253,107.99637947919099,120.1171875,124.9085311811874,240.234375,107.99637947919099,360.3515625,22.526242512604746,49.8046875,17.77244278081278,80.56640625,17.086906830412524
elec room,23.01047134399414,3.0514667199366428,30.068062107795637,14.572763100124847,133.07637395478207,2.744647024322316,0.783969035017705,105.0965475184413,120.1171875,133.07637395478207,240.234375,105.0965475184413,58.59375,30.068062107795637,102.5390625,27.200966336734467,360.3515625,23.56818762711774
elec room,24.00566816329956,3.9414705710922058,37.3511056277587,6.95010745271272,125.98899913214312,2.8761153506767285,2.3537966061981486,110.26223785503272,120.1171875,125.98899913214312,240.234375,110.26223785503272,58.59375,37.3511056277587,38.0859375,35.90377935717372,360.3515625,22.975220915311425
elec room,25.0207622051239,4.682705445583756,30.212516216598846,7.950978954441365,116.20180645774394,4.023923237503677,2.900593168053144,112.94425610866884,120.1171875,116.20180645774394,240.234375,112.94425610866884,57.12890625,30.212516216598846,360.3515625,25.852258492624422,102.5390625,25.754437522816858
elec room,26.010147094726562,2.6310319915496128,39.23723591374536,6.118633717942635,118.67057681024518,1.7454781544327058,0.9349339539950919,106.68756363920951,120.1171875,118.67057681024518,240.234375,106.68756363920951,58.59375,39.23723591374536,360.3515625,24.81773078993644,38.0859375,24.751790159897375
elec room,27.020212411880493,2.11213752624141,44.82719774497775,6.896475342438153,128.88869325886026,2.6985869364935624,2.538413237494812,103.60322448753286,120.1171875,128.88869325886026,240.234375,103.60322448753286,58.59375,44.82719774497775,38.0859375,30.798919488285467,360.3515625,20.356212694741956
elec room,28.018381118774414,6.263493050761712,15.183529161736956,7.763266174359755,128.4151722366297,2.2001217845099723,1.5237824498341426,106.00767938194831,120.1171875,128.4151722366297,240.234375,106.00767938194831,360.3515625,23.77465512752655,43.9453125,18.799200958838135,58.59375,15.183529161736956
elec room,29.020704984664917,2.038884827275152,30.365589668906967,10.530385159816568,123.91843972473814,2.7959536907125004,1.121698782061291,105.55041798750489,120.1171875,123.91843972473814,240.234375,105.55041798750489,52.734375,31.72366892682045,58.59375,30.365589668906967,360.3515625,23.35406403543081
elec room,30.01454210281372,4.97009627672815,26.959478517701374,7.181968591694918,114.07251629226838,2.2290154978563472,2.5057810348931353,103.87498721640904,120.1171875,114.07251629226838,240.234375,103.87498721640904,58.59375,26.959478517701374,360.3515625,22.196397289387644,105.46875,17.21611581754142
elec room,31.010143280029297,4.8238640503072014,24.538473770935937,4.106090035954578,125.68076705507336,3.1863297336791216,1.2447597890159046,102.651178100906,120.1171875,125.68076705507336,240.234375,102.651178100906,104.00390625,30.94655113518958,38.0859375,27.22627933653708,360.3515625,26.147863391380422
elec room,32.00573015213013,1.9473992100947135,19.194583393034424,8.142348788602899,122.05377455124649,2.849908371197565,0.7825996762910962,76.88769952800281,120.1171875,122.05377455124649,240.234375,76.88769952800281,360.3515625,26.28977995781203,104.00390625,19.342094187467133,58.59375,19.194583393034424
elec room,33.00916814804077,2.0167659850511783,24.582012736022673,6.750863333049344,132.70726090823223,1.4620657865056903,2.607907483823875,112.88314132303404,120.1171875,132.70726090823223,240.234375,112.88314132303404,58.59375,24.582012736022673,102.5390625,20.292090313958195,38.0859375,17.843270646338375
elec room,34.01115703582764,5.500373288307946,25.495144433316028,11.981645840794055,121.07868540312187,4.339383053854138,1.7666252289945465,102.38638390255689,120.1171875,121.07868540312187,240.234375,102.38638390255689,38.0859375,28.88231654854905,58.59375,25.495144433316028,104.00390625,19.78247595710613
elec room,35.007254123687744,2.751023971148432,39.54415636689867,7.729772879119824,133.29527895790648,3.566425013409874,1.4994937214295534,107.49857347190947,120.1171875,133.29527895790648,240.234375,107.49857347190947,58.59375,39.54415636689867,38.0859375,20.23662909554735,360.3515625,15.015810885484573
elec room,36.00798726081848,1.4486255591848618,38.745932976517764,6.293267142116227,126.92142924387508,3.848003275396318,2.1438515104966807,87.49470063504796,120.1171875,126.92142924387508,240.234375,87.49470063504796,57.12890625,38.745932976517764,38.0859375,28.76484216567673,102.5390625,24.32540209033078
elec room,37.01115798950195,5.717484713625291,30.94450276945487,8.503310305093654,124.81404606188508,4.397846213805485,1.584941886789199,88.33345138389002,120.1171875,124.81404606188508,240.234375,88.33345138389002,58.59375,30.94450276945487,102.5390625,19.401747068562997,39.55078125,13.841042561920487
elec room,38.01274633407593,3.678002523939739,24.91156382518623,7.955158804085964,129.8352769517014,3.476218609685629,2.1437469715496262,89.7893117661874,120.1171875,129.8352769517014,240.234375,89.7893117661874,102.5390625,25.77633265880189,58.59375,24.91156382518623,39.55078125,21.4642338085527
elec room,39.02133297920227,3.5974026867274675,22.883832413712017,8.189492961986002,127.30937625447909,2.8481365322159147,2.405328086471152,90.90429263469007,120.1171875,127.30937625447909,240.234375,90.90429263469007,52.734375,26.08949526630398,58.59375,22.883832413712017,102.5390625,18.812885140911398
elec room,40.004348278045654,3.472438130248727,31.06944118241539,4.8794732370419736,138.83868184773732,3.7243773859250027,1.2401645097880536,73.51513958404647,120.1171875,138.83868184773732,240.234375,73.51513958404647,58.59375,31.06944118241539,39.55078125,23.730899719724295,102.5390625,19.741945313213698
elec room,41.00846719741821,2.938953829576062,39.5602955195669,7.88603860171193,123.9412683915771,3.253091659296081,2.9404077359732574,85.81738920044859,120.1171875,123.9412683915771,240.234375,85.81738920044859,58.59375,39.5602955195669,102.5390625,32.00135728703957,360.3515625,27.089015277797678
elec room,42.01136302947998,4.700375403788112,16.026687846009946,7.920287711080743,125.29526678131042,4.475204743536597,1.3603684314500935,135.42429178705768,240.234375,135.42429178705768,120.1171875,125.29526678131042,38.0859375,20.958664369500813,57.12890625,16.026687846009946,102.5390625,13.951838361587553
elec room,43.02448010444641,4.0748161678410835,20.15338041646786,6.862612849581963,120.19745269915572,3.830786479068854,2.9093141013050436,114.01367520615692,120.1171875,120.19745269915572,240.234375,114.01367520615692,39.55078125,23.304070853381802,360.3515625,23.099481969354848,58.59375,20.15338041646786
